TimeStamp,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,DailyIncreaseTax
2020-03-25 12:19:38,China,81218,47.0,3281.0,4.0,73650.0,4287,1399.0,56,2,0.0005790245284647
2020-03-25 12:19:38,Italy,69176,0.0,6820.0,0.0,8326.0,54030,3393.0,"1,144",113,0.0
2020-03-25 12:19:38,USA,55124,268.0,787.0,7.0,379.0,53958,1175.0,167,2,0.004885518448300985
2020-03-25 12:19:38,Spain,47610,5552.0,3434.0,443.0,5367.0,38809,2636.0,"1,018",73,0.13200817918113072
2020-03-25 12:19:38,Germany,35714,2723.0,181.0,22.0,3540.0,31993,23.0,426,2,0.08253766178654787
2020-03-25 12:19:38,Iran,27017,2206.0,2077.0,143.0,9625.0,15315,0.0,322,25,0.08891217605094504
2020-03-25 12:19:38,France,22304,0.0,1100.0,0.0,3281.0,17923,2516.0,342,17,0.0
2020-03-25 12:19:38,Switzerland,10537,660.0,149.0,27.0,131.0,10257,141.0,"1,217",17,0.0668219094866862
2020-03-25 12:19:38,S. Korea,9137,100.0,126.0,6.0,3730.0,5281,59.0,178,2,0.011065619121389814
2020-03-25 12:19:38,UK,8227,150.0,433.0,11.0,135.0,7659,20.0,121,6,0.018571251702364844
2020-03-25 12:19:38,Netherlands,6412,852.0,356.0,80.0,3.0,6053,582.0,374,21,0.15323741007194247
2020-03-25 12:19:38,Austria,5588,305.0,30.0,2.0,9.0,5549,28.0,620,3,0.05773234904410374
2020-03-25 12:19:38,Belgium,4937,668.0,178.0,56.0,547.0,4212,474.0,426,15,0.15647692668072155
2020-03-25 12:19:38,Norway,2999,133.0,14.0,2.0,6.0,2979,57.0,553,3,0.046406140963014764
2020-03-25 12:19:38,Portugal,2995,633.0,43.0,10.0,22.0,2930,61.0,294,4,0.26799322607959364
2020-03-25 12:19:38,Canada,2792,0.0,26.0,0.0,185.0,2581,1.0,74,0.7,0.0
2020-03-25 12:19:38,Sweden,2526,227.0,44.0,4.0,16.0,2466,158.0,250,4,0.09873858199217045
2020-03-25 12:19:38,Australia,2431,114.0,9.0,1.0,118.0,2304,11.0,95,0.4,0.04920155373327573
2020-03-25 12:19:38,Brazil,2274,27.0,47.0,1.0,2.0,2225,18.0,11,0.2,0.012016021361815676
2020-03-25 12:19:38,Israel,2170,240.0,5.0,2.0,58.0,2107,37.0,251,0.6,0.12435233160621761
2020-03-25 12:19:38,Turkey,1874,2.0,44.0,0.0,0.0,1830,0.0,22,0.5,0.0010683760683760646
2020-03-25 12:19:38,Malaysia,1796,172.0,19.0,3.0,199.0,1578,64.0,55,0.6,0.10591133004926112
2020-03-25 12:19:38,Denmark,1715,124.0,34.0,2.0,1.0,1680,69.0,296,6,0.07793840351979897
2020-03-25 12:19:38,Czechia,1497,103.0,5.0,2.0,10.0,1482,19.0,140,0.5,0.07388809182209477
2020-03-25 12:19:38,Luxembourg,1333,234.0,8.0,0.0,6.0,1319,3.0,"2,129",13,0.2129208371246587
2020-03-25 12:19:38,Ireland,1329,0.0,7.0,0.0,5.0,1317,29.0,269,1,0.0
2020-03-25 12:19:38,Japan,1193,0.0,43.0,0.0,285.0,865,54.0,9,0.3,0.0
2020-03-25 12:19:38,Chile,1142,220.0,3.0,1.0,22.0,1117,7.0,60,0.2,0.23861171366594358
2020-03-25 12:19:38,Ecuador,1082,0.0,27.0,0.0,3.0,1052,2.0,61,2,0.0
2020-03-25 12:19:38,Pakistan,1022,50.0,8.0,1.0,21.0,993,5.0,5,0.04,0.05144032921810693
2020-03-25 12:19:38,Poland,957,56.0,13.0,3.0,2.0,942,3.0,25,0.3,0.062153163152053326
2020-03-25 12:19:38,Thailand,934,107.0,4.0,0.0,70.0,860,11.0,13,0.06,0.12938331318016938
2020-03-25 12:19:38,Romania,906,112.0,13.0,1.0,86.0,807,18.0,47,0.7,0.1410579345088161
2020-03-25 12:19:38,Saudi Arabia,900,133.0,2.0,1.0,29.0,869,0.0,26,0.06,0.17340286831812257
2020-03-25 12:19:38,Finland,880,88.0,3.0,2.0,10.0,867,22.0,159,0.5,0.11111111111111116
2020-03-25 12:19:38,Indonesia,790,104.0,58.0,3.0,31.0,701,0.0,3,0.2,0.15160349854227406
2020-03-25 12:19:38,Greece,743,0.0,20.0,0.0,29.0,694,35.0,71,2,0.0
2020-03-25 12:19:38,Iceland,737,89.0,2.0,0.0,56.0,679,11.0,"2,160",6,0.13734567901234573
2020-03-25 12:19:38,Diamond Princess,712,0.0,10.0,0.0,587.0,115,15.0,,,0.0
2020-03-25 12:19:38,South Africa,709,155.0,0.0,0.0,12.0,697,2.0,12,,0.27978339350180503
2020-03-25 12:19:38,Russia,658,163.0,1.0,0.0,29.0,628,8.0,5,0.01,0.3292929292929292
2020-03-25 12:19:38,Philippines,636,84.0,38.0,3.0,26.0,572,1.0,6,0.3,0.15217391304347827
2020-03-25 12:19:38,Singapore,631,73.0,2.0,0.0,160.0,469,17.0,108,0.3,0.1308243727598566
2020-03-25 12:19:38,India,606,70.0,10.0,0.0,42.0,554,0.0,0.4,0.01,0.13059701492537323
2020-03-25 12:19:38,Slovenia,528,48.0,5.0,1.0,10.0,513,14.0,254,2,0.10000000000000009
2020-03-25 12:19:38,Qatar,526,0.0,0.0,0.0,41.0,485,6.0,183,,0.0
2020-03-25 12:19:38,Panama,443,0.0,6.0,0.0,1.0,436,33.0,103,1,0.0
2020-03-25 12:19:38,Egypt,442,40.0,21.0,1.0,93.0,328,0.0,4,0.2,0.09950248756218905
2020-03-25 12:19:38,Bahrain,419,27.0,3.0,0.0,177.0,239,2.0,246,2,0.06887755102040827
2020-03-25 12:19:38,Croatia,418,36.0,1.0,0.0,16.0,401,6.0,102,0.2,0.09424083769633507
2020-03-25 12:19:38,Peru,416,0.0,7.0,0.0,1.0,408,9.0,13,0.2,0.0
2020-03-25 12:19:38,Hong Kong,410,23.0,4.0,0.0,102.0,304,4.0,55,0.5,0.05943152454780365
2020-03-25 12:19:38,Mexico,405,38.0,5.0,1.0,4.0,396,1.0,3,0.04,0.10354223433242504
2020-03-25 12:19:38,Estonia,404,35.0,0.0,0.0,8.0,396,5.0,305,,0.09485094850948506
2020-03-25 12:19:38,Dominican Republic,392,80.0,10.0,4.0,3.0,379,0.0,36,0.9,0.2564102564102564
2020-03-25 12:19:38,Argentina,387,0.0,8.0,2.0,52.0,327,0.0,9,0.2,0.0
2020-03-25 12:19:38,Serbia,384,81.0,4.0,1.0,15.0,365,21.0,44,0.5,0.26732673267326734
2020-03-25 12:19:38,Colombia,378,0.0,3.0,0.0,6.0,369,0.0,7,0.06,0.0
2020-03-25 12:19:38,Iraq,346,30.0,29.0,2.0,103.0,214,0.0,9,0.7,0.09493670886075956
2020-03-25 12:19:38,Lebanon,333,15.0,4.0,0.0,8.0,321,4.0,49,0.6,0.04716981132075482
2020-03-25 12:19:38,UAE,333,85.0,2.0,0.0,52.0,279,2.0,34,0.2,0.342741935483871
2020-03-25 12:19:38,Armenia,265,16.0,0.0,0.0,16.0,249,6.0,89,,0.06425702811244971
2020-03-25 12:19:38,Algeria,264,0.0,19.0,0.0,65.0,180,0.0,6,0.4,0.0
2020-03-25 12:19:38,Lithuania,255,46.0,4.0,2.0,1.0,250,1.0,94,1,0.22009569377990434
2020-03-25 12:19:38,Taiwan,235,19.0,2.0,0.0,29.0,204,0.0,10,0.08,0.08796296296296302
2020-03-25 12:19:38,Hungary,226,39.0,10.0,1.0,21.0,195,6.0,23,1,0.20855614973262027
2020-03-25 12:19:38,Latvia,221,24.0,0.0,0.0,1.0,220,0.0,117,,0.12182741116751261
2020-03-25 12:19:38,Bulgaria,220,2.0,3.0,0.0,4.0,213,8.0,32,0.4,0.00917431192660545
2020-03-25 12:19:38,Slovakia,216,12.0,0.0,0.0,7.0,209,2.0,40,,0.05882352941176472
2020-03-25 12:19:38,New Zealand,205,0.0,0.0,0.0,22.0,183,0.0,43,,0.0
2020-03-25 12:19:38,Kuwait,195,4.0,0.0,0.0,43.0,152,6.0,46,,0.020942408376963373
2020-03-25 12:19:38,Uruguay,189,0.0,0.0,0.0,0.0,189,3.0,54,,0.0
