TimeStamp,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,DailyIncreaseTax
2020-03-23 19:21:27,China,81093,0.0,3270.0,0.0,72703.0,5120,1749.0,56,0.0
2020-03-23 19:21:27,Italy,63927,4789.0,6077.0,601.0,7432.0,50418,3204.0,"1,057",0.08098008048970207
2020-03-23 19:21:27,USA,43022,9456.0,530.0,117.0,295.0,42197,1040.0,130,0.28171363880116784
2020-03-23 19:21:27,Spain,35136,6368.0,2311.0,539.0,3355.0,29470,2355.0,751,0.22135706340378203
2020-03-23 19:21:27,Germany,29056,4183.0,123.0,29.0,453.0,28480,23.0,347,0.16817432557391543
2020-03-23 19:21:27,Iran,23049,1411.0,1812.0,127.0,8376.0,12861,0.0,274,0.06520935391440985
2020-03-23 19:21:27,France,19856,3838.0,860.0,186.0,2200.0,16796,2082.0,304,0.23960544387563987
2020-03-23 19:21:27,S. Korea,8961,64.0,111.0,7.0,3166.0,5684,59.0,175,0.007193435989659491
2020-03-23 19:21:27,Switzerland,8547,1073.0,118.0,20.0,131.0,8298,141.0,988,0.14356435643564347
2020-03-23 19:21:27,UK,6650,967.0,335.0,54.0,135.0,6180,20.0,98,0.17015660742565553
2020-03-23 19:21:27,Netherlands,4749,545.0,213.0,34.0,2.0,4534,435.0,277,0.12963843958135102
2020-03-23 19:21:27,Austria,4474,892.0,21.0,5.0,9.0,4444,14.0,497,0.24902289223897256
2020-03-23 19:21:27,Belgium,3743,342.0,88.0,13.0,401.0,3254,322.0,323,0.1005586592178771
2020-03-23 19:21:27,Norway,2621,236.0,10.0,3.0,6.0,2605,41.0,483,0.0989517819706498
2020-03-23 19:21:27,Canada,2091,621.0,23.0,3.0,320.0,1748,1.0,55,0.4224489795918367
2020-03-23 19:21:27,Portugal,2060,460.0,23.0,9.0,14.0,2023,47.0,202,0.2875000000000001
2020-03-23 19:21:27,Sweden,2046,112.0,25.0,4.0,16.0,2005,104.0,203,0.05791106514994837
2020-03-23 19:21:27,Brazil,1924,378.0,34.0,9.0,2.0,1888,18.0,9,0.24450194049159113
2020-03-23 19:21:27,Australia,1887,278.0,7.0,0.0,118.0,1762,11.0,74,0.17277812305779983
2020-03-23 19:21:27,Turkey,1529,293.0,37.0,7.0,0.0,1492,0.0,18,0.2370550161812297
2020-03-23 19:21:27,Malaysia,1518,212.0,14.0,4.0,159.0,1345,57.0,47,0.16232771822358338
2020-03-23 19:21:27,Denmark,1450,55.0,24.0,11.0,1.0,1425,55.0,250,0.03942652329749108
2020-03-23 19:21:27,Israel,1442,371.0,1.0,0.0,41.0,1400,29.0,167,0.34640522875817004
2020-03-23 19:21:27,Czechia,1236,116.0,1.0,0.0,7.0,1228,19.0,115,0.10357142857142865
2020-03-23 19:21:27,Japan,1128,27.0,42.0,1.0,235.0,851,49.0,9,0.02452316076294281
2020-03-23 19:21:27,Ireland,1125,219.0,6.0,2.0,5.0,1114,29.0,228,0.24172185430463577
2020-03-23 19:21:27,Ecuador,981,192.0,18.0,4.0,3.0,960,2.0,56,0.24334600760456282
2020-03-23 19:21:27,Luxembourg,875,77.0,8.0,0.0,6.0,861,3.0,"1,398",0.09649122807017552
2020-03-23 19:21:27,Pakistan,875,99.0,6.0,1.0,13.0,856,0.0,4,0.12757731958762886
2020-03-23 19:21:27,Poland,749,115.0,8.0,1.0,13.0,728,3.0,20,0.1813880126182965
2020-03-23 19:21:27,Chile,746,114.0,2.0,1.0,11.0,733,7.0,39,0.1803797468354431
2020-03-23 19:21:27,Thailand,721,122.0,1.0,0.0,52.0,668,7.0,10,0.20367278797996669
2020-03-23 19:21:27,Diamond Princess,712,0.0,8.0,0.0,567.0,137,15.0,,0.0
2020-03-23 19:21:27,Finland,700,74.0,1.0,0.0,10.0,689,13.0,126,0.1182108626198084
2020-03-23 19:21:27,Greece,695,71.0,17.0,2.0,29.0,649,35.0,67,0.11378205128205132
2020-03-23 19:21:27,Iceland,588,20.0,1.0,0.0,51.0,536,14.0,"1,723",0.035211267605633756
2020-03-23 19:21:27,Indonesia,579,65.0,49.0,1.0,30.0,500,0.0,2,0.1264591439688716
2020-03-23 19:21:27,Romania,576,143.0,7.0,4.0,73.0,496,15.0,30,0.3302540415704387
2020-03-23 19:21:27,Saudi Arabia,562,51.0,0.0,0.0,19.0,543,0.0,16,0.09980430528375739
2020-03-23 19:21:27,Singapore,509,54.0,2.0,0.0,152.0,355,14.0,87,0.1186813186813187
2020-03-23 19:21:27,Qatar,501,7.0,0.0,0.0,33.0,468,6.0,174,0.014170040485830038
2020-03-23 19:21:27,India,499,103.0,10.0,3.0,34.0,455,0.0,0.4,0.26010101010101017
2020-03-23 19:21:27,Philippines,462,82.0,33.0,8.0,18.0,411,1.0,4,0.21578947368421053
2020-03-23 19:21:27,Slovenia,442,28.0,3.0,1.0,0.0,439,12.0,213,0.06763285024154597
2020-03-23 19:21:27,Russia,438,71.0,1.0,0.0,17.0,420,0.0,3,0.19346049046321534
2020-03-23 19:21:27,South Africa,402,128.0,0.0,0.0,4.0,398,0.0,7,0.46715328467153294
2020-03-23 19:21:27,Peru,395,32.0,5.0,0.0,1.0,389,19.0,12,0.0881542699724518
2020-03-23 19:21:27,Bahrain,377,43.0,2.0,0.0,164.0,211,3.0,222,0.12874251497005984
2020-03-23 19:21:27,Egypt,366,39.0,19.0,5.0,68.0,279,0.0,4,0.11926605504587151
2020-03-23 19:21:27,Hong Kong,356,38.0,4.0,0.0,100.0,252,4.0,47,0.11949685534591192
2020-03-23 19:21:27,Estonia,352,26.0,0.0,0.0,4.0,348,4.0,265,0.07975460122699385
2020-03-23 19:21:27,Mexico,316,65.0,2.0,0.0,4.0,310,1.0,2,0.2589641434262948
2020-03-23 19:21:27,Croatia,315,61.0,1.0,0.0,5.0,309,5.0,77,0.24015748031496065
2020-03-23 19:21:27,Panama,313,0.0,3.0,0.0,1.0,309,7.0,73,0.0
2020-03-23 19:21:27,Colombia,277,46.0,3.0,1.0,3.0,271,0.0,5,0.19913419913419905
2020-03-23 19:21:27,Lebanon,267,19.0,4.0,0.0,8.0,255,4.0,39,0.0766129032258065
2020-03-23 19:21:27,Iraq,266,33.0,23.0,3.0,62.0,181,0.0,7,0.14163090128755362
2020-03-23 19:21:27,Argentina,266,0.0,4.0,0.0,27.0,235,0.0,6,0.0
2020-03-23 19:21:27,Serbia,249,27.0,3.0,1.0,3.0,243,12.0,28,0.12162162162162171
2020-03-23 19:21:27,Dominican Republic,245,43.0,3.0,0.0,3.0,239,0.0,23,0.21287128712871284
2020-03-23 19:21:27,Armenia,235,41.0,0.0,0.0,2.0,233,6.0,79,0.21134020618556693
2020-03-23 19:21:27,Algeria,230,29.0,17.0,0.0,65.0,148,0.0,5,0.14427860696517403
